node_id,unit_code,geometry,tags
n4059198,seki,{"type":"Point","coordinates":[-118.804822,36.638892]},{"name": "Dorst Creek Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n4130344,grsm,{"type":"Point","coordinates":[-83.49604,35.557444]},{"name": "Clingmans Dome Visitor Contact Station", "tourism": "information", "information": "office", "nps:unit_code": "grsm", "nps:source_system": "Places Submit"}
n4130897,seki,{"type":"Point","coordinates":[-118.963662,36.743733]},{"name": "Crystal Springs Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3394357,dena,{"type":"Point","coordinates":[-150.8312,63.196636]},{"name": "Test Location", "barrier": "entrance", "nps:unit_code": "dena", "nps:source_system": "Places Submit"}
n8956,dena,{"type":"Point","coordinates":[-150.042865,63.521641]},{"name": "Toklat River Contact Station", "tourism": "information", "information": "office", "nps:unit_code": "dena", "nps:source_system": "Places Submit"}
n3394354,dena,{"type":"Point","coordinates":[-150.831194,63.196599]},{"name": "fake entrance test", "barrier": "entrance", "nps:unit_code": "dena", "nps:source_system": "Places Submit"}
n3396384,niob,{"type":"Point","coordinates":[-100.553066,42.868062]},{"name": "Niobrara National Scenic River Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "niob", "nps:source_system": "Places Submit"}
n8942,glba,{"type":"Point","coordinates":[-135.893326,58.450472]},{"name": "Bartlett Cove Campground", "tourism": "camp_site", "nps:unit_code": "glba", "nps:source_system": "Places Submit"}
n1775,glba,{"type":"Point","coordinates":[-135.886803,58.452224]},{"name": "Glacier Bay National Park Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "glba", "nps:source_system": "Places Submit"}
n3396385,glba,{"type":"Point","coordinates":[-135.886803,58.453257]},{"name": "Visitor Information Station", "tourism": "information", "information": "office", "nps:unit_code": "glba", "nps:source_system": "Places Submit"}
n3396386,cech,{"type":"Point","coordinates":[-118.559199,35.223978]},{"name": "César E. Chávez National Monument Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "cech", "nps:source_system": "Places Submit"}
n8057,boaf,{"type":"Point","coordinates":[-71.065163,42.360078]},{"name": "Boston African American NHS/Museum of African American History", "tourism": "information", "information": "office", "nps:unit_code": "boaf", "nps:source_system": "Places Submit"}
n6201,biso,{"type":"Point","coordinates":[-84.547648,36.670794]},{"name": "Blue Heron Interpretive Center", "tourism": "information", "information": "office", "nps:unit_code": "biso", "nps:source_system": "Places Submit"}
